keys,en
"AI首都","AI Capital"
"armies_short","Armies"
"army","Army"
"army_grid","Formation"
"army_list","Armies"
"army_ops","Operations"
"avail","Available"
"belief_req","Belief req"
"build_candidates","Build: slot"
"building","Building"
"can_recruit","Ready"
"captain","Captain"
"cell_deploy","Deploy"
"cell_discharge","Discharge"
"cell_equip","Equipment"
"cell_move","Move unit"
"choose_artifact","Choose artifact"
"continue_game","Continue"
"cost","Cost"
"cost_free","Free"
"culture_tree","Culture Tree"
"demolish","Demolish"
"disbanded","Disbanded"
"empire_overview","Empire Overview (hold Tab)"
"empty_slot","Empty"
"equipped","Equipped"
"esc_load","Load"
"esc_menu","Menu"
"esc_resume","Resume"
"esc_save","Save"
"esc_to_menu","Return to Main Menu"
"event","Event"
"faction","Faction"
"filter_all","All"
"filter_hint","Filter"
"filter_learnable","Learnable"
"filter_learned","Learned"
"filter_unlearned","Unlearned"
"game_over","Game Over!"
"grant_skill","Grants skill"
"grant_tag","Grants tag"
"held_by","Held by"
"hero","Hero"
"heroes_short","Heroes"
"hint_menu","Menu"
"hp_short","HP"
"inventory","Inventory"
"inventory_detail","Detail"
"inventory_list","Artifacts"
"landmark","Landmark"
"lang_hint","Language"
"layer_detail","Detail"
"layer_slots","Building Slots"
"layer_strongholds","Strongholds"
"legend_enemy","Enemy"
"legend_minor","Minor location"
"legend_neutral","Neutral"
"legend_own","Own"
"level","Level"
"location","Location"
"maintenance","Maintenance"
"map_overview","Map Overview"
"message","Message"
"moon_regen","Mana regen"
"move_to","Move to"
"need_own_stronghold","Army must be in your stronghold"
"new_army_fail","Failed to create army"
"new_army_ok","New army created"
"no_hero_standby","No standby hero available"
"no_items","(none)"
"no_standby_avail","No available standby units"
"no_stronghold","No stronghold owned"
"not_built","Not built"
"not_equipped","Not equipped by any unit"
"occupy","Occupy"
"op_disband","Disband"
"op_edit","Edit"
"op_move","Move"
"op_view","View"
"pick_target_cell","Pick target cell"
"prereqs","Prerequisites"
"produces","Produces"
"quit_game","Quit"
"recruit","Recruit Heroes"
"recruit_detail","Detail"
"recruit_pool","Recruitment Pool"
"recruit_unit","Recruit Units"
"recruit_unit_detail","Detail"
"recruit_unit_list","Unit Types"
"req_not_met","Belief requirement not met"
"req_poor","Resources insufficient"
"requires","Requires"
"resource_short","Short on resources"
"resources","Resources"
"select_army","Select an army"
"select_stronghold","Select a stronghold"
"skill_damage","Damage"
"skills","Skills"
"slots","Slots"
"src_build","Build"
"src_event","Event"
"src_maint","Maintenance"
"src_recruit","Recruit"
"src_supply","Supply"
"src_train","Train"
"src_unknown","Other"
"standby","Standby"
"standby_cd","Standby (cooldown"
"standby_ok","Standby (ready)"
"start_game","New Game"
"status_learnable","Learnable"
"status_learned","Learned"
"status_locked","Locked"
"status_poor","Insufficient resources"
"stock","Stock"
"stronghold","Stronghold"
"stronghold_detail","Detail"
"stronghold_list","Strongholds"
"stronghold_overview","Stronghold Overview"
"strongholds_short","SH"
"subtitle","4X turn-based strategy - Godot port"
"supply","Supply"
"tags","Tags"
"tech_tree","Tech Tree"
"train_btn","Train (+5 XP)"
"train_cost_short","Train cost"
"tree_detail","Detail"
"tree_list","Items"
"unequip_impossible","All equipped on field armies - cannot unequip"
"unit_detail","Detail"
"unit_list","Units"
"unit_roster","Unit Roster"
"unlocks","Unlocks"
"wiki","Wiki"
"wiki_detail","Detail"
"wiki_results","Results"
"wiki_search","Search..."
"winner","Winner"
"中央堡","Central Fort"
"人类","Human"
"人类协同","Human Unity"
"伐木场","Sawmill"
"信仰","Faith"
"僧侣","Monk"
"兵营","Barracks"
"农场","Farm"
"农耕术","Agriculture"
"冰烙印","Frost Brand"
"力量之剑","Sword of Might"
"功利","Utility"
"南境堡","Southern Fort"
"南道","Southern Road"
"占领","Occupation"
"后勤学","Logistics"
"商法典","Mercantile Code"
"商贾行会","Merchant Guild"
"商队","Caravan"
"圣王之剑","Excalibur"
"夜行者","Night Stalker"
"大法师","Archmage"
"大法师之球","Archmage Orb"
"奢侈品","Luxury"
"奥术理论","Arcane Theory"
"存档读档","Save / Load"
"学院","Academy"
